                      SOURCEID  redshift    visit   disp      SRCNAME                                                                                                                                path
9239_Visit_2_G395M        9239  2.462030  Visit_2  G395M    2736_9239     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G395M/Visit_2/9239/G395M_Visit_2_s09239_x1d_masked_bpx.fits
9483_Visit_1_G235M        9483  1.161971  Visit_1  G235M    2736_9483     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G235M/Visit_1/9483/G235M_Visit_1_s09483_x1d_masked_bpx.fits
9483_Visit_1_G395M        9483  1.161971  Visit_1  G395M    2736_9483     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G395M/Visit_1/9483/G395M_Visit_1_s09483_x1d_masked_bpx.fits
9483_Visit_2_G235M        9483  1.160815  Visit_2  G235M    2736_9483     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G235M/Visit_2/9483/G235M_Visit_2_s09483_x1d_masked_bpx.fits
9483_Visit_2_G395M        9483  1.161582  Visit_2  G395M    2736_9483     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G395M/Visit_2/9483/G395M_Visit_2_s09483_x1d_masked_bpx.fits
9721_Visit_1_G235M        9721  2.117908  Visit_1  G235M    2736_9721     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G235M/Visit_1/9721/G235M_Visit_1_s09721_x1d_masked_bpx.fits
9721_Visit_1_G395M        9721  2.117674  Visit_1  G395M    2736_9721     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G395M/Visit_1/9721/G395M_Visit_1_s09721_x1d_masked_bpx.fits
9721_Visit_2_G235M        9721  2.118964  Visit_2  G235M    2736_9721     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G235M/Visit_2/9721/G235M_Visit_2_s09721_x1d_masked_bpx.fits
9721_Visit_2_G395M        9721  2.118741  Visit_2  G395M    2736_9721     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G395M/Visit_2/9721/G395M_Visit_2_s09721_x1d_masked_bpx.fits
9922_Visit_1_G235M        9922  2.741538  Visit_1  G235M    2736_9922     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G235M/Visit_1/9922/G235M_Visit_1_s09922_x1d_masked_bpx.fits
9922_Visit_1_G395M        9922  2.741280  Visit_1  G395M    2736_9922     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G395M/Visit_1/9922/G395M_Visit_1_s09922_x1d_masked_bpx.fits
9922_Visit_2_G235M        9922  2.740792  Visit_2  G235M    2736_9922     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G235M/Visit_2/9922/G235M_Visit_2_s09922_x1d_masked_bpx.fits
9922_Visit_2_G395M        9922  2.740550  Visit_2  G395M    2736_9922     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G395M/Visit_2/9922/G395M_Visit_2_s09922_x1d_masked_bpx.fits
10444_Visit_1_G235M      10444       NaN  Visit_1  G235M   2736_10444    /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G235M/Visit_1/10444/G235M_Visit_1_s10444_x1d_masked_bpx.fits
10444_Visit_1_G395M      10444       NaN  Visit_1  G395M   2736_10444    /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G395M/Visit_1/10444/G395M_Visit_1_s10444_x1d_masked_bpx.fits
10444_Visit_2_G235M      10444       NaN  Visit_2  G235M   2736_10444    /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G235M/Visit_2/10444/G235M_Visit_2_s10444_x1d_masked_bpx.fits
10444_Visit_2_G395M      10444       NaN  Visit_2  G395M   2736_10444    /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G395M/Visit_2/10444/G395M_Visit_2_s10444_x1d_masked_bpx.fits
10511_Visit_1_G235M      10511  3.713247  Visit_1  G235M   2736_10511    /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G235M/Visit_1/10511/G235M_Visit_1_s10511_x1d_masked_bpx.fits
